4.0 2.0 4.0 2.0 1.0 4.0 6.0 5.0 6.0 5.0
4.2 2.3 3.7 2.2 1.4 3.95 5.5 4.9 5.65 4.8
4.4 2.6 3.4 2.4 1.8 3.9 5.0 4.8 5.3 4.6
4.6 2.9 3.1 2.6 2.2 3.85 4.5 4.7 4.95 4.4
4.8 3.2 2.8 2.8 2.6 3.8 4.0 4.6 4.6 4.2
5.0 3.5 2.5 3.0 3.0 3.75 3.5 4.5 4.25 4.0
5.2 3.8 2.2 3.2 3.4 3.7 3.0 4.4 3.9 3.8
5.4 4.1 1.9000000000000004 3.4 3.8 3.65 2.5 4.3 3.5500000000000003 3.6
5.6 4.4 1.5999999999999996 3.6 4.2 3.6 2.0 4.2 3.1999999999999997 3.4
5.8 4.7 1.2999999999999998 3.8 4.6 3.55 1.5 4.1 2.85 3.2
6.0 5.0 1.0 4.0 5.0 3.5 1.0 4.0 2.5 3.0
