2.166667 2.166667
2.162391 2.302713
2.149582 2.438222
2.128289 2.572660
2.098597 2.705495
2.060622 2.836203
2.014516 2.964270
1.960459 3.089188
1.898664 3.210466
1.829377 3.327625
1.752870 3.440201
1.669445 3.547752
1.579432 3.649852
1.483185 3.746099
1.381085 3.836112
1.273535 3.919537
1.160958 3.996044
1.043800 4.065331
0.922522 4.127125
0.797603 4.181182
0.669537 4.227289
0.538828 4.265264
0.405993 4.294956
0.271555 4.316249
0.136046 4.329058
0.000000 4.333333
-0.136046 4.329058
-0.271555 4.316249
-0.405993 4.294956
-0.538828 4.265264
-0.669537 4.227289
-0.797603 4.181182
-0.922522 4.127125
-1.043800 4.065331
-1.160958 3.996044
-1.273535 3.919537
-1.381085 3.836112
-1.483185 3.746099
-1.579432 3.649852
-1.669445 3.547752
-1.752870 3.440201
-1.829377 3.327625
-1.898664 3.210466
-1.960459 3.089188
-2.014516 2.964270
-2.060622 2.836203
-2.098597 2.705495
-2.128289 2.572660
-2.149582 2.438222
-2.162391 2.302713
-2.166667 2.166667
-2.162391 2.030621
-2.149582 1.895111
-2.128289 1.760674
-2.098597 1.627839
-2.060622 1.497130
-2.014516 1.369063
-1.960459 1.244145
-1.898664 1.122867
-1.829377 1.005709
-1.752870 0.893132
-1.669445 0.785581
-1.579432 0.683481
-1.483185 0.587235
-1.381085 0.497221
-1.273535 0.413797
-1.160958 0.337289
-1.043800 0.268002
-0.922522 0.206208
-0.797603 0.152151
-0.669537 0.106044
-0.538828 0.068070
-0.405993 0.038378
-0.271555 0.017085
-0.136046 0.004275
-0.000000 0.000000
0.136046 0.004275
0.271555 0.017085
0.405993 0.038378
0.538828 0.068070
0.669537 0.106044
0.797603 0.152151
0.922522 0.206208
1.043800 0.268002
1.160958 0.337289
1.273535 0.413797
1.381085 0.497221
1.483185 0.587235
1.579432 0.683481
1.669445 0.785581
1.752870 0.893132
1.829377 1.005709
1.898664 1.122867
1.960459 1.244145
2.014516 1.369063
2.060622 1.497130
2.098597 1.627839
2.128289 1.760674
2.149582 1.895111
2.162391 2.030621
